date	time	module	serial	modype	area[m²]	
17.10.2025	14:05:03	PERC2_fixed_1MD439	my serial number	my module type	2.000000	
Sensorlist first point:
interface	channel	name	scalefactor	measurement value
COM1 301 Pyr 0.000009100 909.225604

Monitor Cells:
interface	name	monitor channel	Channel-RTD4W	value	temperature	TempCorrIrradiance
COM1 015-2017 303 304 0.043784 34.308000 890.828077
COM1 019-2017 305 306 0.045137 33.118000 1213.684109

Temperatures:
channel name	value	interface	voltage channel	current channel

electronic load: 
unit_id	port_type	port_number	SN	firmware	sweep_mode
8	TCP	192.168.152.8	ESL-SOLAR-500   SN  19.24.4495  	ET-ESL---------DEV-ET1502--U00008-V2.00.031	CV

Software Version: D:\measurement_programs\Outdoor_Dauer_Main_LV2012_ET2016_16bit_Messbereichsumschalter\Outdoor_Dauer_Main_LV2012_ET2016_16bit_v4.2_Autorange.exe\Outdoor_Dauer_Main_LV2012_ET2016_16bit_v4.2.vi-LV2012-ET2016_16bit_4.2_20170803
irradiation fluctuation in % according to monitor cell: -0.115590
Pmax	Imax	Umax	I@pmax	U@Pmax	FF_raw	Eta_raw	E0_pyr	MPPFit	IscFit	UocFit	EtaFit	ImppFit	UmppFit	FF_fit	MSE_MPPFit	Irradiation Fluctuation_in_percent		015-2017	019-2017	015-2017_temperature	019-2017_temperature
423.86	10.9627	50.423	10.1872	41.607	0.767	0.233	909.2	424.36	10.9741	50.423	0.233	10.0687	42.146	0.767	11.43	-0.1156		890.83	1213.68	34.3	33.1	
U_raw[V]	I_raw[A]	P_raw[A]	
50.423400	0.000000	0.000000
49.826000	1.470600	73.273600
48.780000	3.652800	178.182800
47.752300	5.425300	259.069300
46.729200	6.844400	319.831600
45.694700	7.963400	363.883900
44.673800	8.808000	393.485600
43.648400	9.433100	411.737900
42.627600	9.879400	421.134200
41.606800	10.187200	423.857700
40.572200	10.371700	420.803200
39.610900	9.894500	391.929300
38.514500	9.847300	379.265500
37.665400	9.546100	359.558200
37.047400	9.551800	353.870700
35.907500	9.578400	343.936500
34.733300	9.670600	335.893500
34.007800	9.817800	333.881800
30.956700	10.095900	312.536300
30.544700	10.405600	317.835900
30.302100	10.487800	317.801300
29.281300	10.497100	307.369900
28.249000	10.507000	296.812000
27.230500	10.519800	286.459200
26.200500	10.549800	276.409600
25.170500	10.560500	265.814300
24.147400	10.558300	254.954300
23.122000	10.560500	244.180800
22.092000	10.571800	233.551300
21.064300	10.594200	223.159300
20.032000	10.606100	212.461600
19.013500	10.608800	201.711100
17.974400	10.609100	190.691200
16.953500	10.614100	179.946500
15.923600	10.618700	169.087100
14.886700	10.618700	158.077100
13.865900	10.619400	147.246700
12.835900	10.681200	137.102200
11.805900	10.875300	128.392300
10.780500	10.882400	117.317200
9.757400	10.881400	106.174300
8.732000	10.883700	95.036400
7.702000	10.894500	83.909200
6.672000	10.906400	72.767500
5.658000	10.911900	61.739900
4.623500	10.914200	50.461500
3.595800	10.918700	39.261500
2.572700	10.930000	28.119200
1.540400	10.946700	16.862200
0.851500	10.962700	9.334200
0.844600	10.961300	9.257800
