timestamp,module,pmax,imax,umax,isc_fit,uoc_fit
2025-10-17 10:45:00+00:00,perc2fixed,22.17,0.576,46.198,0.5761,46.198
2025-10-17 10:45:00+00:00,perc1fixed,21.71,0.596,45.541,0.5959,45.541
2025-10-17 10:50:00+00:00,perc2fixed,27.5,0.7083,46.448,0.7082,46.448
2025-10-17 10:50:00+00:00,perc1fixed,26.85,0.73,45.788,0.7299,45.788
2025-10-17 10:55:00+00:00,perc2fixed,33.41,0.8555,46.649,0.8555,46.649
2025-10-17 10:55:00+00:00,perc1fixed,32.59,0.8788,45.99,0.8788,45.99
2025-10-17 11:00:00+00:00,perc2fixed,40.16,1.0232,46.821,1.0232,46.821
2025-10-17 11:00:00+00:00,perc1fixed,39.12,1.0477,46.155,1.0478,46.155
2025-10-17 11:05:00+00:00,perc2fixed,47.26,1.1998,46.942,1.1997,46.942
2025-10-17 11:05:00+00:00,perc1fixed,46.0,1.2262,46.265,1.2262,46.265
2025-10-17 11:10:00+00:00,perc2fixed,55.36,1.406,47.043,1.4043,47.043
2025-10-17 11:10:00+00:00,perc1fixed,53.56,1.426,46.347,1.4247,46.347
2025-10-17 11:15:00+00:00,perc2fixed,62.96,1.5988,47.102,1.5987,47.102
2025-10-17 11:15:00+00:00,perc1fixed,61.05,1.6189,46.393,1.6188,46.393
2025-10-17 11:20:00+00:00,perc1fixed,68.74,1.8224,46.416,1.8217,46.416
2025-10-17 11:20:00+00:00,perc2fixed,71.07,1.8052,47.153,1.8045,47.153
2025-10-17 11:25:00+00:00,perc1fixed,76.68,2.0355,46.45,2.0347,46.45
2025-10-17 11:25:00+00:00,perc2fixed,79.37,2.0201,47.21,2.0201,47.21
2025-10-17 11:30:00+00:00,perc1fixed,84.72,2.2554,46.411,2.2543,46.411
2025-10-17 11:30:00+00:00,perc2fixed,87.82,2.2458,47.219,2.2444,47.219
2025-10-17 11:35:00+00:00,perc1fixed,92.73,2.4731,46.372,2.4717,46.372
2025-10-17 11:35:00+00:00,perc2fixed,96.2,2.4642,47.265,2.4617,47.265
2025-10-17 11:40:00+00:00,perc2fixed,107.86,2.6825,48.702,2.6823,48.702
2025-10-17 11:40:00+00:00,perc1fixed,100.8,2.6899,46.365,2.689,46.365
2025-10-17 11:45:00+00:00,perc2fixed,123.04,2.9119,51.243,2.9091,51.243
2025-10-17 11:45:00+00:00,perc1fixed,108.99,2.9114,46.342,2.911,46.342
